Month_Id,Store_No,Store_Name,Store_Address,Region,food_or_non_food,Division,Main_Category_No,Main_Category_Name,Sales_in_NSP,COGS_in_NNBP,Gross_Profit,Gross_Profit_pct,date
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,FRESH FOOD,110,FRESH PORK,7274110.805,6457865.081,816245.7237,11.20%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,FRESH FOOD,112,FRESH VEAL MEAT,225178.9605,181202.6079,43976.3526,19.50%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,FRESH FOOD,114,FRESH CONVENIENCE,410654.0727,315450.1854,95203.8873,23.20%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,118,SKIN CARE,591205.8456,532756.7046,58449.141,9.90%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,120,ORAL CARE,1192209.411,1056943.38,135266.031,11.30%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,122,OTC,92653.9344,89125.9578,3527.9766,3.80%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,124,SEASONAL PRODUCT,161945.5815,129873.2346,32072.3469,19.80%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,126,DEODORANTS,547823.7333,482426.5608,65397.1725,11.90%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,130,CZECH REPUBLIC RED,314499.6396,284268.0204,30231.6192,9.60%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,132,CZECH REPUBLIC SPARKLING,559650.4488,546591.2751,13059.1737,2.30%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,134,ITALY RED,51706.593,35459.991,16246.602,31.40%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,136,ITALY SPARKLING,52382.943,42386.7006,9996.2424,19.10%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,138,FRANCE RED,159833.898,141595.4277,18238.4703,11.40%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,140,CHAMPAGNE,127433.3796,112483.134,14950.2456,11.70%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,142,EUROPE OTHER WHITE,32464.8783,27788.2893,4676.589,14.40%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,144,EUROPE OTHER ROSÑ“,6392.9412,6096.9456,295.9956,4.60%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,149,NEW WORLD WHITE,45622.845,42373.9458,3248.8992,7.10%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,151,NEW WORLD ROSÑ“,3925.2114,3635.4744,289.737,7.40%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,156,TABLE WINE WHITE,1163252.602,1167229.081,-3976.479,-0.30%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,158,TABLE WINE ROSÑ“,12912.6366,12084.5736,828.063,6.40%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,160,AROMATISED WINE RED,121841.7336,100966.3542,20875.3794,17.10%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,162,MINIBAR WHITE,48226.5171,45277.3152,2949.2019,6.10%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,164,MINIBAR ROSÑ“,174.8007,150.0012,24.7995,14.20%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,166,WINE DRINKS WHITE,4112.7885,3775.7826,337.0059,8.20%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,168,NON ALCOHOLIC RED,760.968,603.2394,157.7286,20.70%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,171,BAG IN BOX WHITE,87253.9317,78121.9269,9132.0048,10.50%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,173,BAG IN BOX ROSÑ“,12433.8969,10108.5057,2325.3912,18.70%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,175,VODKA,2240394.919,2222425.55,17969.3694,0.80%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,177,WHISKY / BOURBON,1094104.017,1064052.007,30052.0098,2.70%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,179,LIQUEURS,1198186.001,1124430.233,73755.7677,6.20%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,181,MIXED DRINKS /RTD,7200.4059,6374.727,825.6789,11.50%,01-10-2018
201810,2,MAKRO BRNO,"2811 Middlefield Rd, Palo Alto, CA 94306",West,F,DRY FOOD,185,CLEAR SPIRITS,307395.9207,292631.1138,14764.8069,4.80%,01-10-2018
