Store_No,Store_Address,Region,Main_Category,Main_Category_Name,food_or_non_food,Division,Date,Stocks
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,110,FRESH PORK,F,FRESH FOOD,01-01-2019,758890.9256
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,111,FRESH BEEF,F,FRESH FOOD,01-01-2019,841317.0859
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,112,FRESH VEAL MEAT,F,FRESH FOOD,01-01-2019,72448.3757
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,113,FRESH LAMB/GOAT,F,FRESH FOOD,01-01-2019,31241.2085
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,114,FRESH CONVENIENCE,F,FRESH FOOD,01-01-2019,28778.857
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,200,CHILLED SPREADS,F,DRY FOOD,01-01-2019,88965.4079
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,201,CHILLED FISH DELICATESSEN,F,DRY FOOD,01-01-2019,366651.2492
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,202,CHILLED ANTIPASTI + APETITERS,F,DRY FOOD,01-01-2019,151227.9098
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,203,SIDE DISH+DOUGH,F,DRY FOOD,01-01-2019,28781.8196
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,204,MAIN COURSE,F,DRY FOOD,01-01-2019,70248.8119
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,205,CHILLED CONVENIENCE FOOD,F,DRY FOOD,01-01-2019,35256.4852
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,206,BF07 DEPOSITS,F,DRY FOOD,01-01-2019,13800
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,260,MILK,F,FRESH FOOD,01-01-2019,1130306.019
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,261,CREAM,F,FRESH FOOD,01-01-2019,1003589.602
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,262,DRINKS,F,FRESH FOOD,01-01-2019,198183.6349
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,263,YOGHURTS,F,FRESH FOOD,01-01-2019,388203.9028
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,264,DESSERTS,F,FRESH FOOD,01-01-2019,298893.2811
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,265,FATS,F,FRESH FOOD,01-01-2019,1181788.977
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,266,SPREAD BUTTER,F,FRESH FOOD,01-01-2019,150890.5476
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,267,EGGS,F,FRESH FOOD,01-01-2019,208345.4717
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,268,YEAST & FILLINGS,F,FRESH FOOD,01-01-2019,22817.7058
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,269,SOFT CHEESE,F,FRESH FOOD,01-01-2019,1408658.661
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,270,SEMI-HARD CHEESE,F,FRESH FOOD,01-01-2019,1911315.1
